"miRNA"	"X4b31b50d.f2ba.4f7e.a49e.0331ea38674a.mirbase21.isoforms.quantification.txt"	"X7888df2c.7336.4256.a863.4a38cf4471c3.mirbase21.isoforms.quantification.txt"	"X88ef0233.d4f6.43ee.aa5f.2bb5089072d5.mirbase21.isoforms.quantification.txt"
"hsa-miR-380-3p"	1.78033	0	0.706072
"hsa-miR-380-5p"	1.017332	0.531419	0.706072
"hsa-miR-381-3p"	278.748835	42.690697	86.140793
"hsa-miR-381-5p"	0.508666	0	0.706072
"hsa-miR-382-3p"	8.647318	2.302818	3.53036
"hsa-miR-382-5p"	86.473181	12.045509	13.415369
"hsa-miR-383-3p"	0	0.17714	0
"hsa-miR-383-5p"	0	0.70856	3.53036
"hsa-miR-3909"	0.254333	0.17714	0
"hsa-miR-3912-3p"	0.508666	1.417118	0
"hsa-miR-3913-3p"	0	0.17714	0
"hsa-miR-3913-5p"	5.08666	3.542798	3.53036
"hsa-miR-3917"	0.254333	0	0
"hsa-miR-3919"	0.508666	0	0
"hsa-miR-3922-3p"	2.034663	0.53142	0
"hsa-miR-3926"	0	0.53142	0
"hsa-miR-3928-3p"	0.508666	2.479958	2.118216
"hsa-miR-3928-5p"	0	0.17714	0
"hsa-miR-3934-3p"	0.254333	2.834237	1.412144
"hsa-miR-3934-5p"	0.254333	0.17714	2.118216
"hsa-miR-3936"	0	0.17714	0
"hsa-miR-3940-3p"	0.254333	0	2.118216
"hsa-miR-3940-5p"	0.508666	0	1.412144
"hsa-miR-3942-5p"	0.762999	0.53142	0
"hsa-miR-3944-3p"	0.254333	0	0
"hsa-miR-409-3p"	63.328889	9.74269	19.770017
"hsa-miR-409-5p"	17.294636	5.137055	8.472864
"hsa-miR-410-3p"	35.860936	12.576928	16.94573
"hsa-miR-410-5p"	0.254333	0	0
"hsa-miR-411-3p"	7.88432	0.708559	0.706072
"hsa-miR-411-5p"	23.652959	3.188517	7.766793
"hsa-miR-412-3p"	0.508666	0.17714	0
"hsa-miR-412-5p"	18.057635	3.011377	0.706072
"hsa-miR-421"	0.508666	0.885699	1.412144
"hsa-miR-423-3p"	113.686798	99.906862	249.243443
"hsa-miR-423-5p"	19.583632	36.490805	82.610433
"hsa-miR-424-3p"	1.271665	1.239979	0.706072
"hsa-miR-424-5p"	104.022148	85.558535	174.399803
"hsa-miR-425-3p"	7.629988	3.542797	5.648576
"hsa-miR-425-5p"	99.952823	104.689635	110.853316
"hsa-miR-4284"	0	0.17714	0
"hsa-miR-4286"	0.254333	0	0
"hsa-miR-429"	81.132188	69.97023	115.795821
"hsa-miR-4306"	0	0.17714	0
"hsa-miR-431-3p"	16.785974	1.417119	3.53036
"hsa-miR-431-5p"	4.832326	0.885699	3.53036
"hsa-miR-432-3p"	0	0	0.706072
"hsa-miR-432-5p"	33.571941	3.542796	16.239657
"hsa-miR-4326"	2.543329	3.188517	4.236432
"hsa-miR-433-3p"	3.051995	1.417119	1.412144
"hsa-miR-4423-5p"	0.254333	0	0
"hsa-miR-4431"	0.762999	0.53142	0
"hsa-miR-4435"	0	0	0.706072
"hsa-miR-4442"	0.254333	0	1.412144
"hsa-miR-4444"	1.525998	0	2.118216
"hsa-miR-4449"	0.254333	0.35428	0
"hsa-miR-4454"	0.254333	0.17714	0.706072
"hsa-miR-4461"	0.254333	0.53142	0.706072
"hsa-miR-4466"	0.254333	0.17714	0
"hsa-miR-4469"	0	0	0.706072
"hsa-miR-4473"	0.762999	0.70856	2.824288
"hsa-miR-4474-5p"	0	0	0.706072
"hsa-miR-4489"	0	0	0.706072
"hsa-miR-4491"	0	0.35428	0
"hsa-miR-449a"	0	0	0.706072
"hsa-miR-449c-5p"	0	0.17714	0
"hsa-miR-450a-1-3p"	0.254333	0	0
"hsa-miR-450a-2-3p"	0	0.17714	0
"hsa-miR-450a-5p"	7.88432	7.617012	6.354648
"hsa-miR-450b-5p"	10.427649	8.148432	11.297153
"hsa-miR-4515"	0.254333	0	0
"hsa-miR-4519"	0	0.17714	0
"hsa-miR-451a"	57.987897	426.198414	192.051605
"hsa-miR-452-3p"	1.78033	3.719937	2.824288
"hsa-miR-452-5p"	84.184185	80.598619	57.191836
"hsa-miR-4521"	0.254333	0.35428	0
"hsa-miR-4522"	0	0.17714	0
"hsa-miR-4523"	0.254333	0	0
"hsa-miR-4525"	0	0.17714	0
"hsa-miR-4533"	0	0.53142	0
"hsa-miR-4536-3p"	0.254333	0.17714	0
"hsa-miR-454-3p"	5.086658	7.617013	22.594306
"hsa-miR-454-5p"	1.017332	0.35428	0
"hsa-miR-455-3p"	290.448147	373.410747	670.768473
"hsa-miR-455-5p"	34.080607	42.513557	91.789369
"hsa-miR-4636"	0.508666	0.53142	0
"hsa-miR-4638-3p"	1.525997	0.8857	0
"hsa-miR-4640-5p"	0.254333	0	0
"hsa-miR-4645-3p"	1.525998	0.17714	0
"hsa-miR-4646-3p"	0	0.35428	0
"hsa-miR-4649-5p"	0	0.17714	0
"hsa-miR-4657"	0.508666	0	0
"hsa-miR-4658"	0	0	0.706072
"hsa-miR-4660"	0.762999	0.17714	1.412144
"hsa-miR-4661-5p"	9.410316	1.594259	1.412144
"hsa-miR-4662a-5p"	9.410317	6.908453	9.885009
"hsa-miR-4664-3p"	0	0.531419	0
"hsa-miR-4664-5p"	0	0.35428	0
"hsa-miR-4668-3p"	3.051995	1.062839	0.706072
"hsa-miR-4673"	0	0.17714	0
"hsa-miR-4674"	0	0.17714	2.118216
"hsa-miR-4676-5p"	0.254333	0.17714	0.706072
"hsa-miR-4677-3p"	23.144293	8.325572	12.003225
"hsa-miR-4677-5p"	1.017332	0	0.706072
"hsa-miR-4684-5p"	0.254333	0	0
"hsa-miR-4685-3p"	0.254333	0.17714	0
"hsa-miR-4687-3p"	0	0.17714	0
"hsa-miR-4705"	0.254333	0	0
"hsa-miR-4707-3p"	0.508666	0	0
"hsa-miR-4707-5p"	0.508666	0	0
"hsa-miR-4709-3p"	0.508666	0.35428	0.706072
"hsa-miR-4724-5p"	0.762999	0.8857	2.824288
"hsa-miR-4725-3p"	0.254333	0	0
"hsa-miR-4728-3p"	1.525998	0.8857	0.706072
"hsa-miR-4732-3p"	0	0.17714	0
"hsa-miR-4733-5p"	0	0.17714	0
"hsa-miR-4735-3p"	0	0	0.706072
"hsa-miR-4735-5p"	0.254333	0	0
"hsa-miR-4738-3p"	0	0.17714	0
"hsa-miR-4740-5p"	0	0.35428	0
"hsa-miR-4742-3p"	0.762999	0.17714	0.706072
"hsa-miR-4746-5p"	2.797662	0.885699	5.648576
"hsa-miR-4750-5p"	0.254333	0	0
"hsa-miR-4754"	0.254333	0.17714	0.706072
"hsa-miR-4755-3p"	0.254333	0	0
"hsa-miR-4755-5p"	0	0.17714	0
"hsa-miR-4758-3p"	0.254333	0.17714	0
"hsa-miR-4758-5p"	0.254333	0.17714	0
"hsa-miR-4760-5p"	0.254333	0	0
"hsa-miR-4762-3p"	0.254333	0	0
"hsa-miR-4763-5p"	0.254333	0	0
"hsa-miR-4766-3p"	0.508666	0.17714	0
"hsa-miR-4766-5p"	0	0	0.706072
"hsa-miR-4768-5p"	0.254333	0	0
"hsa-miR-4772-3p"	5.849657	10.45125	4.942504
"hsa-miR-4772-5p"	2.034663	0.53142	0
"hsa-miR-4775"	0.254333	0.17714	0
"hsa-miR-4777-3p"	1.017332	0.53142	0
"hsa-miR-4781-3p"	0.254333	0.35428	0
"hsa-miR-4781-5p"	0	0.17714	0
"hsa-miR-4782-5p"	0.254333	0	0
"hsa-miR-4786-5p"	0.254333	0.17714	0
"hsa-miR-4787-3p"	0	0.35428	0
"hsa-miR-4788"	0.254333	0.35428	0
"hsa-miR-4791"	0	0	0.706072
"hsa-miR-4795-3p"	0.254333	0	0
"hsa-miR-4796-5p"	0.508666	0.53142	1.412144
"hsa-miR-4797-3p"	0.762999	0.17714	1.412144
"hsa-miR-4800-3p"	0	0.17714	0
"hsa-miR-483-3p"	3.814995	4.251355	7.060721
"hsa-miR-483-5p"	5.595324	2.657098	7.06072
"hsa-miR-484"	55.190235	72.095908	72.725424
"hsa-miR-485-3p"	28.739616	2.479958	5.648576
"hsa-miR-485-5p"	0	0	0.706072
"hsa-miR-486-3p"	2.034664	0.17714	0
"hsa-miR-486-5p"	48.831913	55.267624	115.089749
"hsa-miR-487a-3p"	1.78033	0.17714	3.53036
"hsa-miR-487a-5p"	1.525997	0.531419	1.412144
"hsa-miR-487b-3p"	18.311969	3.188517	4.942504
"hsa-miR-487b-5p"	0.254333	0	0
"hsa-miR-488-3p"	0	0.17714	0
"hsa-miR-489-3p"	0.254333	0	0.706072
"hsa-miR-491-3p"	0.254333	0.35428	1.412144
"hsa-miR-491-5p"	1.271665	2.302818	1.412144
"hsa-miR-493-3p"	17.803302	1.771398	7.766793
"hsa-miR-493-5p"	26.196286	5.491334	12.003225
"hsa-miR-494-3p"	4.32366	0.17714	1.412144
"hsa-miR-494-5p"	0.762999	0	0
"hsa-miR-495-3p"	31.282944	6.908453	14.121441
"hsa-miR-496"	6.612656	0.70856	2.118216
"hsa-miR-497-3p"	0	0.17714	0
"hsa-miR-497-5p"	4.832325	15.765444	19.063946
"hsa-miR-4999-3p"	0	0.35428	0
"hsa-miR-4999-5p"	0.762999	2.834238	0.706072
"hsa-miR-499a-5p"	0.254333	0	0.706072
"hsa-miR-499b-3p"	0	0.17714	0
"hsa-miR-499b-5p"	0	0.17714	0
"hsa-miR-5000-3p"	0.762999	1.594258	0.706072
"hsa-miR-5001-3p"	0.254333	0.885699	0
"hsa-miR-5002-5p"	0.508666	0.35428	0
"hsa-miR-5003-3p"	0	0	0.706072
"hsa-miR-5008-3p"	0.508666	0.17714	0.706072
"hsa-miR-5008-5p"	0.254333	0	0
"hsa-miR-500a-3p"	141.154748	140.471881	141.920487
"hsa-miR-500a-5p"	2.288996	3.719936	4.942504
"hsa-miR-500b-3p"	0.254333	1.417119	0.706072
"hsa-miR-500b-5p"	2.288996	3.719936	4.942504
"hsa-miR-501-3p"	23.907292	22.319617	18.357873
"hsa-miR-501-5p"	2.797662	3.188517	1.412144
"hsa-miR-5010-3p"	0.762999	1.417118	2.118216
"hsa-miR-502-3p"	5.595324	6.731313	6.354648
"hsa-miR-502-5p"	1.017332	0.885699	0.706072
"hsa-miR-503-3p"	0.762999	1.062839	1.412144
"hsa-miR-503-5p"	5.595324	3.542797	16.94573
"hsa-miR-504-3p"	0	0.35428	0
"hsa-miR-504-5p"	1.271665	1.417118	0
"hsa-miR-505-3p"	33.826273	25.685275	45.894684
"hsa-miR-505-5p"	4.323659	4.605636	9.178936
"hsa-miR-508-3p"	1.525998	0.53142	1.412144
"hsa-miR-509-3p"	0.508666	0.17714	0.706072
"hsa-miR-5090"	0.508666	0.17714	0
"hsa-miR-5091"	0	0.53142	0
"hsa-miR-511-3p"	0.762999	0.35428	0
"hsa-miR-511-5p"	14.751308	6.908452	0.706072
"hsa-miR-512-3p"	0.254333	0	1.412144
"hsa-miR-514a-3p"	0.508666	0	0
"hsa-miR-516a-5p"	0	0	4.942504
"hsa-miR-516b-5p"	0.254333	0	1.412144
"hsa-miR-517a-3p"	0.508666	0	4.942504
"hsa-miR-517b-3p"	0.508666	0	4.942504
"hsa-miR-5187-5p"	0	0.35428	0
"hsa-miR-518b"	0	0	1.412144
"hsa-miR-518c-5p"	0	0	2.118216
"hsa-miR-518f-5p"	0	0	1.412144
"hsa-miR-519a-5p"	0	0	0.706072
"hsa-miR-519b-3p"	0	0	0.706072
"hsa-miR-519c-3p"	0	0	0.706072
"hsa-miR-519d-3p"	0	0	1.412144
"hsa-miR-520a-3p"	0	0	2.118216
"hsa-miR-520f-3p"	0.254333	0	0
"hsa-miR-520g-3p"	0	0	0.706072
"hsa-miR-523-3p"	0	0	0.706072
"hsa-miR-525-3p"	0.254333	0	0
"hsa-miR-526b-5p"	0	0.17714	7.060721
"hsa-miR-532-3p"	21.618295	25.508135	25.418595
"hsa-miR-532-5p"	567.670984	711.747806	722.311736
"hsa-miR-539-3p"	3.306328	1.062839	0.706072
"hsa-miR-539-5p"	22.889959	4.428496	9.178937
"hsa-miR-541-3p"	1.017332	0.17714	0.706072
"hsa-miR-542-3p"	248.228888	201.939399	103.792595
"hsa-miR-542-5p"	0.762999	2.302818	2.824288
"hsa-miR-543"	6.10399	0.708559	0.706072
"hsa-miR-545-5p"	0.508666	0	0
"hsa-miR-548ag"	0	0.70856	0
"hsa-miR-548au-3p"	0.254333	0	0
"hsa-miR-548aw"	0	0.35428	0
"hsa-miR-548b-3p"	0.254333	0.17714	0.706072
"hsa-miR-548ba"	0	0.17714	0
"hsa-miR-548d-3p"	0.762999	0	0
"hsa-miR-548e-3p"	0.508666	0	0
"hsa-miR-548e-5p"	0	0.17714	0
"hsa-miR-548j-5p"	0.508666	0.70856	1.412144
"hsa-miR-548k"	0	0.17714	0
"hsa-miR-548l"	0.254333	0	0
"hsa-miR-548o-3p"	0.762999	0.53142	0
"hsa-miR-548q"	0	0.17714	0
"hsa-miR-548s"	0.762999	0.17714	0
"hsa-miR-548t-5p"	0.254333	0	0.706072
"hsa-miR-548v"	1.017332	1.417119	3.53036
"hsa-miR-549a"	0	0.17714	0
"hsa-miR-550a-3-5p"	0.508666	0.35428	1.412144
"hsa-miR-550a-3p"	1.017332	2.479958	7.06072
"hsa-miR-550a-5p"	1.271665	1.062839	0.706072
"hsa-miR-551a"	0.254333	0.17714	0
"hsa-miR-551b-3p"	0	0.35428	0.706072
"hsa-miR-552-5p"	0.762999	0.531419	0
"hsa-miR-556-3p"	0.254333	0	0.706072
"hsa-miR-556-5p"	0.254333	0	0
"hsa-miR-5571-3p"	0	0.17714	0
"hsa-miR-5579-3p"	1.017332	0	0
"hsa-miR-5582-3p"	0.762999	0	0
"hsa-miR-5586-5p"	6.612655	3.365657	9.885009
"hsa-miR-5588-3p"	0	0.17714	0
"hsa-miR-5589-3p"	0.508666	0.17714	0.706072
"hsa-miR-5589-5p"	0	1.062839	0.706072
"hsa-miR-561-5p"	2.034663	2.302818	1.412144
"hsa-miR-5680"	0	0.17714	0
"hsa-miR-5683"	0	2.302818	0
"hsa-miR-5684"	0	0.17714	0
"hsa-miR-5697"	0	0	0.706072
"hsa-miR-5698"	0.508666	0	0
"hsa-miR-5699-3p"	0.508666	0.35428	0
"hsa-miR-5699-5p"	1.017332	0.708559	0
"hsa-miR-570-3p"	0.254333	0.35428	1.412144
"hsa-miR-570-5p"	0.762999	0	0
"hsa-miR-5703"	0	0.17714	0
"hsa-miR-5706"	0.508666	0.35428	1.412144
"hsa-miR-5708"	0	0.53142	0
"hsa-miR-574-3p"	89.016508	87.861352	71.31328
"hsa-miR-576-5p"	17.803301	9.211271	10.59108
"hsa-miR-577"	17.294637	1.062839	12.709298
"hsa-miR-579-3p"	0.254333	0	0
"hsa-miR-579-5p"	0.254333	1.06284	1.412144
"hsa-miR-580-3p"	0.762999	0.531419	0.706072
"hsa-miR-580-5p"	0	0	0.706072
"hsa-miR-581"	0.508666	0.35428	0.706072
"hsa-miR-582-3p"	157.940719	61.644658	142.62656
"hsa-miR-582-5p"	12.970976	3.365657	13.415369
"hsa-miR-584-3p"	1.017332	0	3.53036
"hsa-miR-584-5p"	218.726277	68.553111	217.470199
"hsa-miR-585-3p"	0	0.531419	0
"hsa-miR-585-5p"	0.254333	0.17714	0
"hsa-miR-589-3p"	1.525998	1.062838	2.118216
"hsa-miR-589-5p"	53.155572	71.387348	98.850091
"hsa-miR-590-3p"	4.069327	4.251356	2.118216
"hsa-miR-590-5p"	16.78597	5.845614	16.239658
"hsa-miR-592"	9.66465	1.062839	192.757677
"hsa-miR-598-3p"	37.641267	34.365127	26.124666
"hsa-miR-598-5p"	0	0.17714	0
"hsa-miR-605-5p"	1.017332	0.53142	0
"hsa-miR-607"	0	0	0.706072
"hsa-miR-6125"	0	0.17714	0.706072
"hsa-miR-615-3p"	0.254333	0.35428	0
"hsa-miR-616-3p"	1.525998	1.239979	0
"hsa-miR-616-5p"	1.271665	2.657097	4.236432
"hsa-miR-618"	1.780331	0.35428	4.236432
"hsa-miR-624-5p"	0.508666	1.594259	2.118216
"hsa-miR-625-3p"	128.94677	55.621904	49.425046
"hsa-miR-625-5p"	3.560661	2.125679	0.706072
"hsa-miR-627-5p"	1.525998	2.479958	2.118216
"hsa-miR-628-3p"	0.508666	0.70856	0.706072
"hsa-miR-628-5p"	4.577992	3.897077	6.354648
"hsa-miR-629-3p"	7.629986	4.959914	4.236432
"hsa-miR-629-5p"	112.923799	57.570442	69.901137
"hsa-miR-632"	0	0	0.706072
"hsa-miR-639"	0	0.35428	0
"hsa-miR-641"	0.254333	0	0
"hsa-miR-642a-3p"	0	0.17714	0
"hsa-miR-642a-5p"	3.306328	8.148432	15.533586
"hsa-miR-643"	0.254333	0	1.412144
"hsa-miR-6501-5p"	0.508666	0	0.706072
"hsa-miR-6502-3p"	0	0.17714	0
"hsa-miR-6502-5p"	0.508666	0	0
"hsa-miR-6503-5p"	0.762999	0.35428	0
"hsa-miR-6505-3p"	0	0.17714	0
"hsa-miR-6506-5p"	0	0.17714	0
"hsa-miR-6509-5p"	2.543329	1.771398	0.706072
"hsa-miR-651-5p"	1.78033	2.125678	2.824288
"hsa-miR-6510-3p"	0.762999	0.17714	0.706072
"hsa-miR-6511b-3p"	0.254333	1.417119	2.118216
"hsa-miR-6512-3p"	0	0.17714	0
"hsa-miR-6513-3p"	0	0.17714	0
"hsa-miR-6514-5p"	0	0.35428	1.412144
"hsa-miR-6515-5p"	0	0.17714	0.706072
"hsa-miR-6516-5p"	0	0.17714	0
"hsa-miR-652-3p"	15.259973	13.462627	12.709297
"hsa-miR-652-5p"	0	0.17714	0
"hsa-miR-653-3p"	0.254333	0.17714	0.706072
"hsa-miR-653-5p"	11.699313	6.908453	4.942504
"hsa-miR-654-3p"	74.773867	18.599682	31.067171
"hsa-miR-654-5p"	8.392987	0.70856	2.824288
"hsa-miR-655-3p"	8.138653	2.657098	0.706072
"hsa-miR-655-5p"	0.254333	0	0
"hsa-miR-656-3p"	1.78033	0.885699	0.706072
"hsa-miR-658"	0.254333	0	0.706072
"hsa-miR-659-5p"	2.288997	1.239979	1.412144
"hsa-miR-660-3p"	0.254333	0.17714	0.706072
"hsa-miR-660-5p"	38.658598	45.347795	64.252559
"hsa-miR-664a-3p"	18.057636	14.171187	72.019352
"hsa-miR-664a-5p"	0	0.885699	1.412144
"hsa-miR-664b-3p"	3.051995	1.062838	3.53036
"hsa-miR-664b-5p"	0	0	1.412144
"hsa-miR-665"	0.508666	0.17714	0.706072
"hsa-miR-668-3p"	0.254333	0	0
"hsa-miR-671-3p"	2.034663	1.417119	0
"hsa-miR-671-5p"	4.577992	1.948538	6.354648
"hsa-miR-6715a-3p"	1.017332	0	6.354649
"hsa-miR-6715b-3p"	0	0	0.706072
"hsa-miR-6716-3p"	0	0.708559	0
"hsa-miR-6718-5p"	34.334938	0.708559	42.364325
"hsa-miR-6720-3p"	0.508666	0.531419	0
"hsa-miR-6721-5p"	0	0.17714	0
"hsa-miR-6723-5p"	0.508666	0	0
"hsa-miR-6727-5p"	0.254333	0.17714	0
"hsa-miR-6728-5p"	0.254333	0	0
"hsa-miR-6730-3p"	0.254333	0	0
"hsa-miR-6730-5p"	0.508666	0.17714	0
"hsa-miR-6731-5p"	0.254333	0	0
"hsa-miR-6733-3p"	0	0.53142	0
"hsa-miR-6734-5p"	0.254333	0.53142	0.706072
"hsa-miR-6737-5p"	0	0.17714	0
"hsa-miR-6745"	0	0.17714	0
"hsa-miR-6746-3p"	0	0	0.706072
"hsa-miR-6746-5p"	0	0.17714	0
"hsa-miR-6747-3p"	0.254333	0.17714	0
"hsa-miR-6748-3p"	0	0.17714	0
"hsa-miR-6748-5p"	0.254333	0	0.706072
"hsa-miR-675-3p"	1.271665	6.022754	128.505118
"hsa-miR-6750-3p"	0	0.17714	0
"hsa-miR-6751-5p"	0	0.17714	0
"hsa-miR-6754-3p"	0	0.17714	0
"hsa-miR-6755-5p"	1.017332	0.885699	1.412144
"hsa-miR-6758-3p"	0	0.17714	0
"hsa-miR-676-3p"	0.762999	1.771398	4.942504
"hsa-miR-676-5p"	0.508666	0.17714	0
"hsa-miR-6761-3p"	0	0	0.706072
"hsa-miR-6761-5p"	0.508666	0.35428	1.412144
"hsa-miR-6769a-3p"	0	0.17714	0
"hsa-miR-6771-5p"	0	0.17714	0
"hsa-miR-6772-3p"	0	0.53142	0.706072
"hsa-miR-6774-3p"	0	0.17714	0
"hsa-miR-6777-5p"	0	0	1.412144
"hsa-miR-6779-5p"	0.254333	0	0
"hsa-miR-6781-3p"	0	0.17714	0
"hsa-miR-6782-3p"	0	0.17714	0
"hsa-miR-6783-3p"	0	0.17714	0
"hsa-miR-6786-3p"	0.254333	0	0
"hsa-miR-6788-5p"	0	0.17714	0
"hsa-miR-6791-3p"	0	0.17714	0
"hsa-miR-6792-3p"	0	0.17714	0
"hsa-miR-6793-3p"	0.254333	0	0
"hsa-miR-6793-5p"	0.508666	0	0
"hsa-miR-6796-5p"	0	0.17714	0
"hsa-miR-6798-3p"	0	0.35428	0
"hsa-miR-6802-3p"	0.254333	0.17714	0.706072
"hsa-miR-6803-3p"	0.254333	0.17714	0
"hsa-miR-6805-5p"	0.254333	0	0
"hsa-miR-6806-3p"	1.271665	1.062838	0
"hsa-miR-6808-3p"	0.254333	0.35428	0
"hsa-miR-6810-3p"	0.254333	0	0
"hsa-miR-6812-3p"	0	0.17714	0
"hsa-miR-6813-3p"	0.508666	0	0
"hsa-miR-6814-3p"	0	0.17714	0
"hsa-miR-6815-3p"	0	0.531419	0
"hsa-miR-6815-5p"	0	0.35428	0.706072
"hsa-miR-6818-3p"	0.254333	0	0
"hsa-miR-6820-3p"	0.254333	0.531419	0.706072
"hsa-miR-6820-5p"	0	0	0.706072
"hsa-miR-6821-5p"	0	0.17714	0
"hsa-miR-6822-3p"	0.254333	0	0
"hsa-miR-6833-3p"	0.254333	0	0
"hsa-miR-6834-5p"	0	0	0.706072
"hsa-miR-6836-5p"	0	0	0.706072
"hsa-miR-6837-3p"	0.254333	0.53142	2.118216
"hsa-miR-6837-5p"	0	0.17714	0
"hsa-miR-6839-5p"	0.254333	0	0
"hsa-miR-6842-3p"	1.78033	0.885699	0
"hsa-miR-6842-5p"	0.254333	0	0
"hsa-miR-6843-3p"	0.254333	1.239979	0
"hsa-miR-6851-3p"	0	0.17714	0.706072
"hsa-miR-6852-5p"	0.254333	0.17714	0.706072
"hsa-miR-6854-5p"	1.525998	0.35428	2.118216
"hsa-miR-6855-5p"	0	0.17714	0
"hsa-miR-6858-5p"	0.254333	0	0.706072
"hsa-miR-6860"	0.508666	0.35428	0
"hsa-miR-6866-3p"	0	0.17714	0
"hsa-miR-6868-3p"	0	0.35428	0.706072
"hsa-miR-6874-3p"	0	0.17714	0
"hsa-miR-6875-5p"	0.254333	0.53142	0
"hsa-miR-6877-5p"	0	0	0.706072
"hsa-miR-6879-3p"	0.254333	0	0
"hsa-miR-6881-5p"	0.254333	0	0
"hsa-miR-6883-3p"	0	0	0.706072
"hsa-miR-6885-3p"	0	0.17714	0
"hsa-miR-6888-3p"	0	0	0.706072
"hsa-miR-6891-5p"	0.508666	0.70856	0
"hsa-miR-6892-5p"	1.525998	0.531419	0
"hsa-miR-6894-3p"	0	0.17714	0.706072
"hsa-miR-6894-5p"	0.254333	0	0
"hsa-miR-6895-3p"	0	0.17714	0
"hsa-miR-6895-5p"	0	0.17714	0
"hsa-miR-7-1-3p"	24.161625	7.439872	31.773244
"hsa-miR-7-5p"	0.762999	0.35428	0
"hsa-miR-708-3p"	121.825449	26.393834	2.824288
"hsa-miR-708-5p"	22.12696	9.74269	2.824288
"hsa-miR-7110-3p"	0.254333	0.53142	0
"hsa-miR-7110-5p"	0.254333	0.17714	0
"hsa-miR-7112-3p"	0	0.17714	0
"hsa-miR-7151-5p"	0	0.17714	0
"hsa-miR-7155-5p"	0	0.17714	0
"hsa-miR-744-3p"	10.427649	7.794153	7.060721
"hsa-miR-744-5p"	30.265612	29.050931	19.063946
"hsa-miR-758-3p"	34.843605	6.908454	16.239658
"hsa-miR-758-5p"	11.44498	2.657098	3.53036
"hsa-miR-760"	0.508666	0.17714	1.412144
"hsa-miR-7641"	0	0.17714	0
"hsa-miR-765"	0.254333	0.17714	0
"hsa-miR-766-3p"	9.918983	6.022754	8.472865
"hsa-miR-766-5p"	0	0.35428	0
"hsa-miR-769-3p"	0.508666	1.417118	0.706072
"hsa-miR-769-5p"	12.970978	13.285487	15.533585
"hsa-miR-7702"	5.086658	0.35428	0
"hsa-miR-7705"	0	0.35428	0.706072
"hsa-miR-7706"	0.762999	2.657098	2.118216
"hsa-miR-7844-5p"	0.254333	0.17714	0
"hsa-miR-7849-3p"	0	0.17714	0
"hsa-miR-7850-5p"	0	0	0.706072
"hsa-miR-7854-3p"	0	0.17714	0
"hsa-miR-7974"	0.254333	0.17714	2.824288
"hsa-miR-802"	0	0.17714	0
"hsa-miR-8083"	0	0.35428	0
"hsa-miR-873-5p"	0.508666	0	0
"hsa-miR-874-3p"	31.282945	107.701012	134.859766
"hsa-miR-874-5p"	1.271665	3.719937	2.824288
"hsa-miR-877-3p"	0.508666	0.17714	0
"hsa-miR-877-5p"	1.271665	0.885699	0.706072
"hsa-miR-885-3p"	0.254333	0	0.706072
"hsa-miR-885-5p"	4.069326	0.531419	83.316505
"hsa-miR-887-3p"	6.612654	1.062839	0
"hsa-miR-887-5p"	0.508666	0.35428	0.706072
"hsa-miR-889-3p"	86.981844	13.994046	23.300379
"hsa-miR-891a-5p"	0	0.885699	0
"hsa-miR-9-3p"	0.254333	0	0
"hsa-miR-9-5p"	82.912521	38.970763	523.905481
"hsa-miR-92a-1-5p"	2.288996	1.417119	2.824288
"hsa-miR-92a-3p"	7939.000806	7191.345374	14658.056351
"hsa-miR-92b-3p"	67.652546	63.947476	36.715747
"hsa-miR-92b-5p"	1.017332	0	0.706072
"hsa-miR-93-3p"	7.629987	6.731312	8.472865
"hsa-miR-93-5p"	2967.047361	3668.742864	8454.507069
"hsa-miR-934"	0	3.365657	0
"hsa-miR-935"	0.508666	2.302817	0
"hsa-miR-937-3p"	2.034664	1.948539	1.412144
"hsa-miR-937-5p"	0	0.35428	0
"hsa-miR-938"	0.254333	0	0
"hsa-miR-939-5p"	1.017332	1.417119	2.118216
"hsa-miR-940"	0.254333	2.479957	0
"hsa-miR-942-3p"	0	0	0.706072
"hsa-miR-942-5p"	8.138652	3.897076	7.766792
"hsa-miR-944"	0.254333	0.885699	0.706072
"hsa-miR-95-3p"	9.410317	10.45125	2.118216
"hsa-miR-95-5p"	0	0.17714	0
"hsa-miR-96-3p"	0	0	0.706072
"hsa-miR-96-5p"	5.340991	13.639767	41.658252
"hsa-miR-98-3p"	1.78033	1.417119	0
"hsa-miR-98-5p"	41.964925	43.753537	22.594307
"hsa-miR-99a-3p"	1.271665	2.302818	1.412144
"hsa-miR-99a-5p"	385.568645	498.825741	230.179498
"hsa-miR-99b-3p"	64.346218	68.375972	28.948955
"hsa-miR-99b-5p"	14752.832952	22605.698447	9207.179906
